timestamp,puechabon_rainfall (mm),puechabon_evapotranspiration (mm),puechabon_air_temperature_average (°C),puechabon_soil_temperature (°C)
2008-08-02 01:00:00,16.968,36.8707970978107,22.6581522741935,20.8567338709677
2008-08-30 01:00:00,26.9,24.994677308105,17.6849943166667,17.294375
2008-09-27 01:00:00,46.9,11.4143573772515,13.8607078145161,14.2240356182796
2008-10-25 01:00:00,330.5,18.0072125813009,8.78774830333333,9.67294027777778
2008-11-22 00:00:00,166.7,10.3801457469196,4.91246888548387,5.62950380824373
2008-12-20 00:00:00,60,12.6545426669207,4.32688204032258,4.59910304659498
2009-01-17 00:00:00,163,18.7016789337905,6.19124942142857,5.69418551587302
2009-03-14 00:00:00,59.6,49.2922663501416,9.91232817419355,8.66015524193549
2009-04-11 01:00:00,143.2,39.8860750363825,12.2515075633333,11.2147106481481
2009-05-09 01:00:00,42.2,64.1147111206214,17.4224392580645,15.5142921146953
2009-06-06 01:00:00,40,84.4403331568453,21.1774527166667,18.5857297584175
2009-07-04 01:00:00,42.2,56.6864244467744,21.8927330714286,21.1102618442489
2009-08-01 01:00:00,9.292,27.6616806246808,24.3314328057143,21.9599217607106
2009-08-29 01:00:00,32.724,23.5369564823547,19.6741348833333,18.5083554292929
2009-09-26 01:00:00,116.6,22.3872562495043,14.9336506532258,14.8630533154122
2009-10-24 01:00:00,12.04,9.81790272396744,10.9126521133333,11.7712384259259
2009-11-21 00:00:00,32.5,7.07270702095622,5.24646532903226,7.41709184587814
2009-12-19 00:00:00,122.794,5.19239504126378,2.78612152419355,4.43386603942652
2010-02-13 00:00:00,154.592,7.82221731017625,4.9222484875,4.91408630952381
2010-03-13 00:00:00,106.862,30.46214200816,7.76640413225806,7.10891106630824
2010-04-10 01:00:00,43.026,47.0977821979498,12.9985291783333,11.2414136574074
2010-05-08 01:00:00,82.302,48.7749470809883,15.0539113870968,13.7425515232975
2010-06-05 01:00:00,40.804,56.5769654340195,19.4238449833333,17.3566643518519
2010-07-03 01:00:00,7.676,40.2876220825196,24.4945426142857,21.8112345679012
2010-07-31 01:00:00,9.292,19.0933135625805,23.1470279714286,21.5703987455197
2010-08-28 01:00:00,56.96,26.554312910996,17.7190184166667,17.6728958333333
2010-09-25 01:00:00,138.976,19.1545150185331,12.7854759,13.2790918458781
2010-10-23 01:00:00,74.94,12.2839876417753,8.95,9.9771337962963
2010-11-20 00:00:00,109.888,5.95184076371801,4.37776168870968,5.47377393078525
2010-12-18 00:00:00,46.46,6.13171837810408,5.09513184354839,5.47358833292603
2011-02-12 00:00:00,32.3,12.9765826558556,7.75418313214286,6.64167063492063
2011-03-12 00:00:00,259.8,17.8542712916703,9.06471317096774,8.48848051075269
2011-04-09 01:00:00,34.4,35.4880477059753,14.759241115,13.0692916666667
2011-05-07 01:00:00,12.2,53.5069002543271,17.85,16.0013284050179
2011-06-04 01:00:00,71.9,62.0329900401559,19.4266643166667,17.736787037037
2011-07-02 01:00:00,55.146,41.8805664207643,21.1953747142857,19.844605734767
2011-07-30 01:00:00,27.27,45.8591199285775,22.5872305714286,20.5735797491039
2011-08-27 01:00:00,40.4,37.0931225204682,20.8,19.1418611111111
2011-09-24 01:00:00,159.4,13.1577793327825,15.8857527419355,15.8236021505376
2011-10-22 01:00:00,421.6,7.78747681224936,10.782457,12.7031172839506
2011-11-19 00:00:00,7.7,8.89220725151984,8.28005794193549,8.28612805555556
2011-12-17 00:00:00,7.9,8.96449517229517,6.88109864497667,7.82410935633214
2012-02-11 00:00:00,0,16.8833499370112,2.98471995800158,4.30668153621602
2012-03-10 00:00:00,6.9,26.9090195210395,11.703187782529,9.47149921594982
2012-04-07 01:00:00,112.3,21.9140425520658,11.425033255,10.7727255787037
2012-05-05 01:00:00,99.382,49.1067031715333,16.4095964806452,13.903604390681
2012-06-02 01:00:00,37.166,79.1033763312724,20.62510565,17.4724456018519
2012-06-30 01:00:00,77.2,92.1732689616485,22.3990729193548,19.1101288082437
2012-07-28 01:00:00,56.8,35.6280811608803,24.3442700322581,20.9175560035842
